num_of_solutions,generations,mut_perc,cross_perc,best_perc,num_of_mutations
150,120,21,21,21,1
120,150,21,11,11,1
120,150,21,21,21,1
120,150,21,1,21,1
150,120,21,11,21,2
180,100,21,11,21,3
100,180,21,21,11,1
100,180,11,21,21,3
100,180,21,1,11,1
120,150,21,11,21,2
180,100,11,21,21,2
100,180,21,21,21,1
100,180,21,21,21,3
150,120,11,21,21,1
100,180,11,21,11,1
100,180,21,11,21,1
180,100,21,11,21,2
100,180,21,11,21,2
100,180,11,21,21,1
120,150,11,21,21,1
120,150,21,1,11,1
150,120,11,11,21,1
150,120,11,21,21,2
180,100,21,21,21,1
100,180,21,21,11,3
150,120,21,21,11,2
180,100,21,11,21,1
100,180,21,1,21,1
100,180,21,21,11,2
150,120,11,11,11,2
100,180,11,11,21,3
100,180,11,21,21,2
180,100,11,21,11,3
120,150,11,21,11,1
120,150,21,21,11,2
120,150,11,11,21,1
150,120,11,21,11,1
180,100,11,11,11,1
100,180,21,11,11,1
150,120,21,1,11,1
150,120,21,11,21,1
120,150,21,11,21,1
120,150,11,21,21,2
120,150,21,21,11,1
100,180,21,21,21,2
100,180,11,1,21,1
120,150,11,1,11,1
150,120,21,21,21,2
120,150,21,11,11,2
180,100,21,1,11,1
